Averages per problem (n_runs = 10)
==================================================

p1_easy: reward_average=838.100000 | time_average=1.469269s
e1_easy: reward_average=795.100000 | time_average=8.179681s
e2_easy: reward_average=664.800000 | time_average=1.091673s
e3_easy: reward_average=557.800000 | time_average=6.279614s
e4_easy: reward_average=914.800000 | time_average=1.534521s
e5_easy: reward_average=662.000000 | time_average=3.887418s
m1_easy: reward_average=547.600000 | time_average=4.695560s
m2_easy: reward_average=496.100000 | time_average=10.824666s
m3_easy: reward_average=356.400000 | time_average=17.344381s
m4_easy: reward_average=729.900000 | time_average=7.369181s
m5_easy: reward_average=544.300000 | time_average=2.896316s
rl_easy: reward_average=2935.600000 | time_average=0.710757s
p1_med: reward_average=1137.800000 | time_average=2.289319s
e1_med: reward_average=1143.800000 | time_average=12.789045s
e2_med: reward_average=951.000000 | time_average=1.699700s
e3_med: reward_average=809.400000 | time_average=8.980106s
e4_med: reward_average=1318.800000 | time_average=2.313032s
e5_med: reward_average=870.000000 | time_average=5.454579s
m1_med: reward_average=742.800000 | time_average=6.795850s
m2_med: reward_average=650.300000 | time_average=16.803596s
m3_med: reward_average=563.100000 | time_average=25.613353s
m4_med: reward_average=1052.500000 | time_average=11.286487s
m5_med: reward_average=763.800000 | time_average=4.391260s
rl_med: reward_average=4325.600000 | time_average=1.085981s
p1_hard: reward_average=1182.100000 | time_average=3.067825s
e1_hard: reward_average=1546.500000 | time_average=16.628349s
e2_hard: reward_average=932.600000 | time_average=1.981910s
e3_hard: reward_average=825.400000 | time_average=12.140867s
e4_hard: reward_average=1748.400000 | time_average=3.077167s
e5_hard: reward_average=556.100000 | time_average=7.956984s
m1_hard: reward_average=742.100000 | time_average=9.169013s
m2_hard: reward_average=786.100000 | time_average=20.690086s
m3_hard: reward_average=518.900000 | time_average=34.268503s
m4_hard: reward_average=1320.600000 | time_average=15.331935s
m5_hard: reward_average=658.700000 | time_average=6.779988s
rl_hard: reward_average=5805.600000 | time_average=1.457797s
